Sr. No.,STATE_NAME,DISTRICT_NAME,BLOCK_NAME,HABITATION_NAME,HAB_CODE,MASTER_FACILITY_DESC,ADDRESS,FILE_UPLOAD_DATE,MASTER_FACILITY_CATEGORY_NAME,SUB_CATEGORY,LATITUDE,LONGITUDE
164,Andhra Pradesh,Guntur,Pedakurapadu,Patibandla,838096,bedded hospital,patibandla,11-Aug-19,Medical ,Bedded Hospital,16.46238144,80.29953026
165,Andhra Pradesh,Srikakulam,Seethampeta,Seethampeta,968245,CHC seethampeta ,main road,04-Sep-19,Medical ,Community Health Centre,18.6951128,83.81718158
166,Andhra Pradesh,Visakhapatnam,S Rayavaram,Pedagummuluru,842986,Sri venkateswara poli clinic and ESI Panel clinic,Pedagummuluru,06-Sep-19,Medical ,Community Health Centre,17.43176645,82.74319875
167,Andhra Pradesh,West Godavari,Penumantra,Marteru,682301,community health centre,mareteru,09-Sep-19,Medical ,Community Health Centre,16.62543494,81.73727112
168,Andhra Pradesh,Nellore,Indukurpet,Indukurpet Bit II,433828,Community  Health  centre ,INDUKURPETA  BIT- II,13-Aug-19,Medical ,Community Health Centre,14.47123416,80.10094746
169,Andhra Pradesh,West Godavari,Penumantra,Penumantra,845769,beded hospital,penumantra,20-Aug-19,Medical ,Bedded Hospital,16.65308401,81.64163245
170,Andhra Pradesh,West Godavari,Penumantra,Penumantra,845769,community health centre,penumantra,20-Aug-19,Medical ,Community Health Centre,16.63783438,81.65727449
171,Andhra Pradesh,Anantapur,Mudigubba,Mudigubba,720519,Hospital,The doctor  PHC Mudigubba,21-Aug-19,Medical ,Bedded Hospital,14.35185592,77.9969773
172,Andhra Pradesh,Prakasam,Ongole,Mukthinuthalapadu,722891,Kims Hospital,Mukthinuthalapadu,10-Sep-19,Medical ,Bedded Hospital,15.53314837,80.05414284
173,Andhra Pradesh,Prakasam,Lingasamudram,Pedapavani,843220,Bedded Hospital,Pedapavani,24-Aug-19,Medical ,Bedded Hospital,15.0051293,79.81466371
174,Andhra Pradesh,Visakhapatnam,Munchingiputtu,Munchingiputtu,724581,hospital,hospital,22-Aug-19,Medical ,Community Health Centre,18.36567168,82.51005372
175,Andhra Pradesh,Guntur,Ipuru,Muppalla,726946,Hospital ,muppalla,07-Sep-19,Medical ,Bedded Hospital,16.1825274,79.74160306
176,Andhra Pradesh,Visakhapatnam,Paderu,Pathapaderu,836398,bedded hospital,paderu,04-Sep-19,Medical ,Bedded Hospital,18.0804793,82.67344866
177,Andhra Pradesh,Nellore,Vinjamur,Pathur,837851,Governmenthospital,oldvinjamur,09-Aug-19,Medical ,Bedded Hospital,14.83752279,79.58850724
178,Andhra Pradesh,Chittoor,Kuppam,Kuppam,602759,Area Hospital ,KUPPAM ,03-Sep-19,Medical ,Bedded Hospital,12.76470294,78.3510178
179,Andhra Pradesh,Srikakulam,Pathapatnam,Pathapatnam,836446,commary health center,pathapatanam,30-Aug-19,Medical ,Community Health Centre,18.74520988,84.08541597
180,Andhra Pradesh,East Godavari,Sakhinetipalle,Moripodu,716076,Divine Emergency Hospital ,Moripodu,30-Aug-19,Medical ,Bedded Hospital,16.3989083,81.80928765
181,Andhra Pradesh,Guntur,Pittalavanipalem,Pittuvaripalem,858010,Care medical college and hospital,Pittalavaripalem,07-Aug-19,Medical ,Bedded Hospital,15.9815122,80.62219767
182,Andhra Pradesh,East Godavari,Kapileswarapuram,K P Puram,474796,CHC,KP Puram,06-Sep-19,Medical ,Community Health Centre,16.74331204,81.92214272
183,Andhra Pradesh,Chittoor,Gudipala,PEYANA PALLE RLY STA,848502,bedded hospital,chittoor district ap,04-Sep-19,Medical ,Bedded Hospital,13.13048396,79.13718406
184,Andhra Pradesh,East Godavari,Ambajipeta,Machavaram,635398,Hospital,Machavaram,31-Aug-19,Medical ,Bedded Hospital,16.59671833,81.93961333
185,Andhra Pradesh,Chittoor,Peddamandyam,Peddmandyam,844023,Medical center,Peddamandem ,31-Aug-19,Medical ,Bedded Hospital,13.92779304,78.54009224
186,Andhra Pradesh,Nellore,Butchireddipalem,Kalayakagollu,487930,Nellore Lakshmi Devamma Free Hospital,Kalayakagollu,21-Aug-19,Medical ,Bedded Hospital,14.50814131,79.9042251
187,Andhra Pradesh,West Godavari,Iragavaram,Pekeru,844986,pacs hospital ,pekeru,21-Aug-19,Medical ,Bedded Hospital,16.68730995,81.7454585
188,Andhra Pradesh,Guntur,Pedakurapadu,Pedakurapadu,843060,bedded hospital,pedakurapadu ,11-Aug-19,Medical ,Bedded Hospital,16.46946002,80.26053546
189,Andhra Pradesh,Y S R Kadapa,Vemula,Peddajutur,843594,peddajutur,peddajutur,01-Oct-19,Medical ,Community Health Centre,14.4032228,78.2906803
190,Andhra Pradesh,Krishna,Jaggayyapeta,Pochampalli,858458,community health center,Pochampalli,22-Aug-19,Medical ,Community Health Centre,16.83481533,80.18497958
191,Andhra Pradesh,Nellore,Kaligiri,Kaligiri,489579,beded hospital,kaligiri,25-Aug-19,Medical ,Bedded Hospital,14.82931598,79.69419993
192,Andhra Pradesh,Prakasam,Podili,Podili,858815,Community health center,Main road,13-Aug-19,Medical ,Community Health Centre,15.60680862,79.61362916
193,Andhra Pradesh,Prakasam,Ulavapadu,Ulavapadu,1071276,bedede hospital ,Ulavapadu ,08-Aug-19,Medical ,Bedded Hospital,15.16383569,80.00509347
194,Andhra Pradesh,West Godavari,Pentapadu,Pentapadu,845698,Prashanthi hospital ,Sangammeda,11-Sep-19,Medical ,Bedded Hospital,16.78031266,81.52336657
195,Andhra Pradesh,Visakhapatnam,Gangaraju Madugula,K.G.MADUGULA,475174,hospital ,G madugula ,06-Sep-19,Medical ,Bedded Hospital,18.09297955,82.66882086
196,Andhra Pradesh,Anantapur,Penu Konda,Penukonda,845751,Bedded hospital,The Doctor Govt hospetal peukonda,05-Aug-19,Medical ,Bedded Hospital,14.08863529,77.59614015
197,Andhra Pradesh,Anantapur,Madakasira,Kallumarri,491992,community health care,Kallumarri,07-Sep-19,Medical ,Community Health Centre,13.87245369,77.38249328
198,Andhra Pradesh,Kurnool,Dornipadu,Umapathi Nagar,1071911,G P Chowdary Hospetal,Umapathinagar,05-Sep-19,Medical ,Bedded Hospital,15.31132537,78.40526173
199,Andhra Pradesh,Y S R Kadapa,Kamalapuram,Kamalapuram,494993,community health centre ,kamalapuram village kamalapuram mandal ysr district ,05-Sep-19,Medical ,Community Health Centre,14.596805,78.66971333
200,Andhra Pradesh,Chittoor,Tirupati Urban,Upparapalem,1076137,beded hospetal,upparapalem,24-Aug-19,Medical ,Bedded Hospital,13.62895469,79.46345226
201,Andhra Pradesh,Prakasam,Naguluppalapadu,Uppugundur,1076959,tulasi venkateswara hospital,uppugundur,08-Aug-19,Medical ,Bedded Hospital,15.67083617,80.16767048
202,Andhra Pradesh,Kurnool,Gadivemula,Pesaravayi,847974,veterinary  hospital,near Ramudu house,04-Sep-19,Medical ,Bedded Hospital,15.65220572,78.48746136
203,Andhra Pradesh,Krishna,Musunuru,Musunuru,734195,bedded hospital,musunuru,27-Aug-19,Medical ,Bedded Hospital,16.82527426,80.93201593
204,Andhra Pradesh,Srikakulam,Rajam,Pogiri,858929,Leprosy Hospital,Pogiri,04-Sep-19,Medical ,Community Health Centre,18.41769276,83.68851668
205,Andhra Pradesh,Guntur,Krosuru,Utukur,1081304,milk collection center ,utukur,27-Aug-19,Medical ,Community Health Centre,16.56740837,80.20131986
206,Andhra Pradesh,Guntur,Cherukupalle,Nadimpalli,740426,Eye hospital,Nadimpalli,16-Aug-19,Medical ,Community Health Centre,16.07098613,80.71267484
207,Andhra Pradesh,Nellore,Podlakur,Podalakur,858613,Community health centre ,Podalakur  village ,11-Sep-19,Medical ,Community Health Centre,14.38018469,79.73050782
208,Andhra Pradesh,West Godavari,Buttayagudem,K R Puram,474872,Beded hospital ,KR puram colany ,03-Sep-19,Medical ,Bedded Hospital,17.18569252,81.42116966
209,Andhra Pradesh,Chittoor,Vijaya Puram,K V Puram,475004,community center,at village ,27-Aug-19,Medical ,Community Health Centre,13.29402333,79.65627
210,Andhra Pradesh,Prakasam,Ongole,Karavadi,512166,bedded hospital,karavadi,13-Aug-19,Medical ,Bedded Hospital,15.54512718,80.11316263
211,Andhra Pradesh,Krishna,Gudlavalleru,Dokiparru,306754,Ayurveda hospital,Beside panchayati road,04-Sep-19,Medical ,Bedded Hospital,16.2981677,81.05193661
212,Andhra Pradesh,Guntur,Savalyapuram,Karumanchi,517703,sub center,Karumanchi,06-Sep-19,Medical ,Bedded Hospital,16.05767096,79.89371648
213,Andhra Pradesh,Guntur,Savalyapuram,Karumanchi,517703,hospital ,karmunchi,06-Sep-19,Medical ,Bedded Hospital,16.05322568,79.8885158
214,Andhra Pradesh,Anantapur,Kalyandurg,KALYANADURG PT,493838,beddedhospital,kalyanadurgpt,13-Aug-19,Medical ,Bedded Hospital,14.55659667,77.110135
215,Andhra Pradesh,Y S R Kadapa,S A Kasinayana,Narasapuram,760265,Bedded Hospital,Narasspuram,22-Aug-19,Medical ,Bedded Hospital,15.05085082,78.92974499
216,Andhra Pradesh,West Godavari,Chintalapudi,Fathimapuram,329931,Fathima Hospital ,fahimapuram,04-Sep-19,Medical ,Bedded Hospital,17.02094193,80.99480141
217,Andhra Pradesh,Krishna,Nandivada,Rudrapaka,927225,bedded hospital,near govt junior college,04-Sep-19,Medical ,Bedded Hospital,16.51694826,81.0962787
218,Andhra Pradesh,East Godavari,Amalapuram,Karakkayapeta,510056,Kims bedded hospital,karakkyapeta,06-Sep-19,Medical ,Bedded Hospital,16.59080628,82.0229671
219,Andhra Pradesh,Chittoor,Srikalahasti,Empedu,324787,beded hospital ,Empedu,04-Sep-19,Medical ,Bedded Hospital,13.86195136,79.58636893
220,Andhra Pradesh,Guntur,Vinukonda,Enugupalem,325206,bedded hospital,engupalem,05-Sep-19,Medical ,Bedded Hospital,16.02517661,79.82032334
221,Andhra Pradesh,Visakhapatnam,Sabbavaram,Sabbavaram,930528,Mother and child hospital,Sabbavaram,07-Sep-19,Medical ,Bedded Hospital,17.790335,83.12187333
222,Andhra Pradesh,Srikakulam,Saravakota,Saravakota,956639,Bedded Hospital,Saravakota,06-Sep-19,Medical ,Bedded Hospital,18.58951131,84.05036333
223,Andhra Pradesh,Nellore,Kavali,Sarvayapalem,961285,hospital,village inside,07-Sep-19,Medical ,Bedded Hospital,14.93241333,80.02466833
224,Andhra Pradesh,Guntur,Nizampatnam,Nizampatnam,787237,community health centre,nizampatnam,13-Aug-19,Medical ,Community Health Centre,15.91144498,80.66929212
225,Andhra Pradesh,Nellore,Bogole,Siddavaram,988586,bedded hosptel,village center,08-Sep-19,Medical ,Bedded Hospital,14.77613965,80.06220867
226,Andhra Pradesh,Chittoor,Satyavedu,Sathyavedu,963268,Community health center,sathyavedu,21-Aug-19,Medical ,Community Health Centre,13.43757394,79.95563004
227,Andhra Pradesh,Chittoor,Gudupalle,Nalagampalle,753244,PES Medical College Hospital,Nalagampalle,07-Sep-19,Medical ,Bedded Hospital,12.79150167,78.363775
228,Andhra Pradesh,Anantapur,Rolla,Rolla,924804,Community health care ,Rolla,22-Aug-19,Medical ,Community Health Centre,13.84138017,77.10511536
229,Andhra Pradesh,West Godavari,Nallajerla,Nallajerla,753934,Vadlamudi  Multi Speciality Hospital,Nallajerla,04-Sep-19,Medical ,Bedded Hospital,16.94707108,81.40882066
230,Andhra Pradesh,Vizianagaram,Srungavarapukota,S Kota,929641,CHC S Kota,S Kota,13-Sep-19,Medical ,Community Health Centre,18.1094956,83.13671001
231,Andhra Pradesh,East Godavari,Sakhinetipalle,Sakhinetipalli,939551,Bedded Hospital,Sakhinetipalli,22-Aug-19,Medical ,Bedded Hospital,16.40438167,81.75761333
232,Andhra Pradesh,Krishna,Ibrahimpatnam,Jupudi,473713,NimraHospital,jupudi,29-Aug-19,Medical ,Bedded Hospital,16.60471988,80.50355238
233,Andhra Pradesh,East Godavari,Ambajipeta,Irusumanda,434993,Hospital,Irusumanda,21-Aug-19,Medical ,Bedded Hospital,16.63716,81.95243833
234,Andhra Pradesh,Krishna,Penuganchiprolu,Navabpeta,768349,Community health center,Navabpeta,23-Aug-19,Medical ,Community Health Centre,16.85807185,80.19645332
235,Andhra Pradesh,Srikakulam,Seethampeta,K Veeraghattam,475017,Health Centre,K Veeraghattam,05-Sep-19,Medical ,Community Health Centre,18.75873065,83.68047232
236,Andhra Pradesh,Kurnool,Mantralayam,Kachapuram,476355,Bedded Hospital Tungabhadra,Near High School,17-Aug-19,Medical ,Bedded Hospital,15.9477376,77.30593129
237,Andhra Pradesh,Visakhapatnam,Pendurthi,Saripalli,958616,Sub Centre,Saripalle,30-Aug-19,Medical ,Community Health Centre,17.84210167,83.19877333
238,Andhra Pradesh,Srikakulam,Narasannapeta,Narasannapeta,760230,Bedde Hospital,Narasannapeta,05-Aug-19,Medical ,Bedded Hospital,18.41715,84.04508
239,Andhra Pradesh,Anantapur,Kudair,Marutla 1,682793,health wellness centre ,marital 1,09-Aug-19,Medical ,Community Health Centre,14.82302038,77.38481806
240,Andhra Pradesh,East Godavari,Mamidikuduru,Jaggannapeta,441168,Hospital,Jaggannapeta,31-Aug-19,Medical ,Bedded Hospital,16.49446667,81.88012167
241,Andhra Pradesh,West Godavari,Pedapadu,satyanarayanapuram,964267,MURALI KRISHNA BEDDED HOSPITAL,"Satyanarayana Puram, Pedapadu",06-Sep-19,Medical ,Bedded Hospital,16.65786263,81.05643426
242,Andhra Pradesh,Guntur,Savalyapuram,Savalyapuram,964918,bedded hospital,savalyapuram,06-Sep-19,Medical ,Bedded Hospital,16.10613269,79.81790823
243,Andhra Pradesh,Prakasam,Kanigiri,Kaknigiri Urbun,484828,Community health Center ,Kanigiri urban ,21-Aug-19,Medical ,Community Health Centre,15.40321107,79.50436798
244,Andhra Pradesh,Anantapur,Kudair,Jallipalli,446716,health sub centre ,jallipalli,08-Aug-19,Medical ,Community Health Centre,14.80607581,77.34836876
245,Andhra Pradesh,Krishna,Avanigadda,Seetailanka,968125,STANNS hospital ,Avanigadda ,07-Sep-19,Medical ,Bedded Hospital,16.03000417,80.91311533
246,Andhra Pradesh,Chittoor,Kalikiri,Kalikiri,489791,community health centre,"govt community health centre, kalikiri",26-Aug-19,Medical ,Community Health Centre,13.64694543,78.80288382
247,Andhra Pradesh,Vizianagaram,Nellimarla,Nellimarla,777495,CHC At Nellimarla,Nellimarla,14-Sep-19,Medical ,Community Health Centre,18.16502238,83.44822716
248,Andhra Pradesh,Anantapur,Vidapanakal,Havaligi,418003,community health sub centre ,havaligi,22-Aug-19,Medical ,Community Health Centre,15.01380297,77.1143037
249,Andhra Pradesh,Krishna,Vatsavai,Kambhampadu,496877,Community health center,Kambhampadu,24-Aug-19,Medical ,Community Health Centre,16.97907491,80.24436618
250,Andhra Pradesh,Chittoor,Mulakalacheruvu,Molakalacheruvu,712710,community health center,mulakalacheru,31-Aug-19,Medical ,Community Health Centre,13.80610345,78.26056951
251,Andhra Pradesh,Vizianagaram,Kurupam,Kurupam,606499,CHC kurupam,Kurupam,13-Sep-19,Medical ,Community Health Centre,18.86697614,83.54916962
252,Andhra Pradesh,Guntur,Phirangipuram,Nudurupadu,791969,Community Health Centre,Nudurupadu,05-Sep-19,Medical ,Community Health Centre,16.28203676,80.21356126
253,Andhra Pradesh,East Godavari,Sankhavaram,Rowthulapudi,926570,Bedded hospital,rowthulaudi,09-Sep-19,Medical ,Bedded Hospital,17.38123857,82.36869845
254,Andhra Pradesh,Chittoor,Srirangarajapuram,S.R.PURAM,930112,Bedded hospital ,SRPuram,20-Aug-19,Medical ,Bedded Hospital,13.30835958,79.35284564
255,Andhra Pradesh,East Godavari,Kadiam,Kadiam,479445,Beddad hospital,Kadiam,27-Aug-19,Medical ,Bedded Hospital,16.91447447,81.81187816
256,Andhra Pradesh,Chittoor,Bangarupalem,Jambuvaripalli,448769,PHC HOSPITAL,jambuvaripalli,06-Sep-19,Medical ,Bedded Hospital,13.19610067,78.91464849
257,Andhra Pradesh,East Godavari,Kadiam,Kadiam,479445,Cammunity helth centre,Kadiam,27-Aug-19,Medical ,Community Health Centre,16.91464743,81.81157942
258,Andhra Pradesh,Y S R Kadapa,Kalasapadu,Kalasapadu,487584,Beaded Hospital,Kalasapadu,23-Aug-19,Medical ,Bedded Hospital,15.10618939,78.94343739
259,Andhra Pradesh,Krishna,Jaggayyapeta,Jayantipuram,459253,community health center,jayanthipuram,21-Aug-19,Medical ,Community Health Centre,16.86075731,80.11501494
260,Andhra Pradesh,Guntur,Machavaram,Machavaram,635400,Bedded hospital ,Pillutla Road ,06-Sep-19,Medical ,Bedded Hospital,16.56773473,79.86637787
261,Andhra Pradesh,Visakhapatnam,Padmanabham,Samayyavalasa,945071,Beaded Hospital,near sanghivalasa,18-Aug-19,Medical ,Bedded Hospital,17.92326773,83.42004107
262,Andhra Pradesh,Vizianagaram,Salur,Kurukutti,606119,Communty Helath Center ST,Kurukutti,12-Sep-19,Medical ,Community Health Centre,18.58870862,83.0929217
263,Andhra Pradesh,Y S R Kadapa,Lakkireddipalle,Lakkireddipalle,615726,community health center ,lakkireddypalli ,05-Sep-19,Medical ,Community Health Centre,14.18651242,78.70680255
264,Andhra Pradesh,Prakasam,Pamur,Kambaladinne,496687,kambaladinnea government aayurvedic hospital,kambaladinnea ,25-Aug-19,Medical ,Community Health Centre,15.0475,79.540455
265,Andhra Pradesh,Nellore,Naidupeta,L A Sagaram,610744,cumunity health centre ,LASAGARAM,20-Aug-19,Medical ,Community Health Centre,13.90751333,79.89955667
266,Andhra Pradesh,Anantapur,Lepakshi,Kallur,492081,Bedded hospital,Kallur,08-Sep-19,Medical ,Bedded Hospital,13.83538562,77.56119382
267,Andhra Pradesh,East Godavari,Malikipuram,Malikipuram,661124,Sri Sankar Private Hospital,Malikipuram,30-Aug-19,Medical ,Bedded Hospital,16.40633894,81.80221233
268,Andhra Pradesh,Guntur,Cherukupalle,Kanagala,498827,community hospital,kanagala,13-Aug-19,Medical ,Community Health Centre,16.08245333,80.74476167
269,Andhra Pradesh,West Godavari,Thallapudi,Malakapalli,658196,Bedded Hospital,Malakapalli,01-Aug-19,Medical ,Bedded Hospital,17.06633378,81.66046953
270,Andhra Pradesh,Prakasam,Santhanuthlapadu,M Vemulapadu,634790,phc,m vemulapadi,05-Sep-19,Medical ,Bedded Hospital,15.44421944,79.90249735
271,Andhra Pradesh,Krishna,Kankipadu,Kankipadu,504743,CHC,CHC,22-Aug-19,Medical ,Community Health Centre,16.43757439,80.76512597
272,Andhra Pradesh,Visakhapatnam,Hukumpeta,Hukumpeta,427787,bedded hospital,"hukumepta, opp petrol bunk",20-Aug-19,Medical ,Bedded Hospital,18.14862718,82.69330826
273,Andhra Pradesh,Srikakulam,Pathapatnam,Koduru,569868,Community Health Centre,koduru,07-Sep-19,Medical ,Community Health Centre,18.72445125,84.08654758
274,Andhra Pradesh,Chittoor,Karvetinagar,Karvetinagar,518353,Bessed Hospital,Karvetinar,03-Sep-19,Medical ,Bedded Hospital,13.41365042,79.4479994
275,Andhra Pradesh,Visakhapatnam,Gudem Kothaveedhi,Upper Sileru Project Site Camp,1076576,Bedded Hospital,Upper sileru,30-Aug-19,Medical ,Bedded Hospital,18.04685279,82.03608193
276,Andhra Pradesh,Anantapur,Obuladevaracheruvu,Kondakamarla,576869,Health center,Kondakamarla,06-Aug-19,Medical ,Community Health Centre,14.06802952,77.95675617
277,Andhra Pradesh,Visakhapatnam,Butchayyapeta,Turakalapudi,1066247,phc center,turakalapudi,01-Aug-19,Medical ,Bedded Hospital,17.73489506,82.86185649
278,Andhra Pradesh,Visakhapatnam,Rolugunta,Rolugunta,924845,matha sishu health centre,Rolugunta -  kovvuru road,02-Aug-19,Medical ,Bedded Hospital,17.71217474,82.6640679
279,Andhra Pradesh,Chittoor,Puthalapattu,Vajjireddipalle Hw,1085200,RVS Medical Hospital,Muthirevula,03-Sep-19,Medical ,Bedded Hospital,13.27345278,79.11989697
280,Andhra Pradesh,Kurnool,Kosigi,Kosigi,582103,KOSIGI BEDDED  HOSPITAL,KOSIGI,17-Aug-19,Medical ,Bedded Hospital,15.85442716,77.23929518
281,Andhra Pradesh,Krishna,Jaggayyapeta,Budavada,182912,community health center,Budavada,22-Aug-19,Medical ,Community Health Centre,16.8760105,80.02913959
282,Andhra Pradesh,Kurnool,Owk,Uppalapadu,1075972,C Primary health Centre,Uppalapadu,13-Aug-19,Medical ,Community Health Centre,15.17002376,78.04429722
283,Andhra Pradesh,Srikakulam,Mandasa,Haripurm,409453,community health center,in village,05-Sep-19,Medical ,Community Health Centre,18.84656847,84.50253367
284,Andhra Pradesh,East Godavari,Malikipuram,Lakkavaram,615652,Suryachandra Private hospital,lakkavaram,29-Aug-19,Medical ,Bedded Hospital,16.42417676,81.84365123
285,Andhra Pradesh,Anantapur,Lepakshi,Lepakshi,625595,Hospital,Lepakshi,07-Sep-19,Medical ,Bedded Hospital,13.80340104,77.61004367
286,Andhra Pradesh,Krishna,Vatsavai,Lingala,626916,Community health center,Lingala,24-Aug-19,Medical ,Community Health Centre,16.95267323,80.21883142
287,Andhra Pradesh,Guntur,Narasaraopeta,Lingamguntlacolony,626999,beded hospital,lingamguntla colony,27-Sep-19,Medical ,Bedded Hospital,16.23006387,80.03686583
288,Andhra Pradesh,Visakhapatnam,Anandapuram,Lodagalavanipalem,627918,PH centre,Village entrance,17-Aug-19,Medical ,Bedded Hospital,17.89384728,83.37165019
289,Andhra Pradesh,Kurnool,Kodumur,Kodumur,569813,bedded hospital govt,bellary road kodumur,03-Aug-19,Medical ,Bedded Hospital,15.68068744,77.76128048
290,Andhra Pradesh,Krishna,Gudlavalleru,Kowtharam,588970,bedded hospital,chevendra road,18-Aug-19,Medical ,Bedded Hospital,16.33504811,81.08229817
291,Andhra Pradesh,Guntur,Ipuru,Ipuru,434423,samagika arogya kendram,ipur,20-Aug-19,Medical ,Bedded Hospital,16.22869107,79.77317423
